"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19375","Восстановить пароль c email зарегистрированного пользователя","webkit","Thu Apr 03 06:32:29 GMT 2025","passed","Thu Apr 03 06:32:48 GMT 2025","","account.spec.js","",""
"","8419","Обновить платежную информацию","webkit","Thu Apr 03 06:33:04 GMT 2025","passed","Thu Apr 03 06:33:13 GMT 2025","","account.spec.js","",""
"","5840","Проверить вывод платежной информации","webkit","Thu Apr 03 06:32:49 GMT 2025","passed","Thu Apr 03 06:32:54 GMT 2025","","account.spec.js","",""
"","6630","Отфильтровать товары по ценовому диапазону","chromium","Thu Apr 03 06:30:23 GMT 2025","passed","Thu Apr 03 06:30:30 GMT 2025","","products.spec.js","",""
"","3195","Изменить отображение цен товаров в евро","firefox","Thu Apr 03 06:31:49 GMT 2025","passed","Thu Apr 03 06:31:52 GMT 2025","","products.spec.js","",""
"","6381","Отображение итоговой цены заказа","chromium","Thu Apr 03 06:30:43 GMT 2025","passed","Thu Apr 03 06:30:49 GMT 2025","","products.spec.js","",""
"","4216","Отправить комментарий к товару только с обязательными полями","webkit","Thu Apr 03 06:33:39 GMT 2025","passed","Thu Apr 03 06:33:43 GMT 2025","","products.spec.js","",""
"","9953","Увеличить количество товара в корзине больше чем на 1 еденицу","webkit","Thu Apr 03 06:34:08 GMT 2025","passed","Thu Apr 03 06:34:18 GMT 2025","","products.spec.js","",""
"","5786","Перейти на страницу производителя товара","firefox","Thu Apr 03 06:32:05 GMT 2025","passed","Thu Apr 03 06:32:11 GMT 2025","","products.spec.js","",""
"","5011","Проверить вывод платежной информации","firefox","Thu Apr 03 06:31:08 GMT 2025","passed","Thu Apr 03 06:31:13 GMT 2025","","account.spec.js","",""
"","28500","Неверное отображение итоговой цены заказа","chromium","Wed Mar 26 05:48:44 GMT 2025","passed","Wed Mar 26 05:49:13 GMT 2025","","products.spec.js","",""
"","2234","Изменить отображение цен товаров в евро","chromium","Thu Apr 03 06:30:16 GMT 2025","passed","Thu Apr 03 06:30:18 GMT 2025","","products.spec.js","",""
"","17938","Восстановить пароль c email зарегистрированного пользователя","firefox","Thu Apr 03 06:30:50 GMT 2025","passed","Thu Apr 03 06:31:08 GMT 2025","","account.spec.js","",""
"","8240","Увеличить количество товара в корзине больше чем на 1 еденицу","chromium","Thu Apr 03 06:30:34 GMT 2025","passed","Thu Apr 03 06:30:43 GMT 2025","","products.spec.js","",""
"","3642","Изменить отображение цен товаров в евро","webkit","Thu Apr 03 06:33:43 GMT 2025","passed","Thu Apr 03 06:33:46 GMT 2025","","products.spec.js","",""
"","26632","Перейти на детальную страницу hot item","chromium","Wed Mar 26 05:48:17 GMT 2025","passed","Wed Mar 26 05:48:44 GMT 2025","","products.spec.js","",""
"","5426","Перейти на детальную страницу товара в категории ""hot item""","firefox","Thu Apr 03 06:31:52 GMT 2025","passed","Thu Apr 03 06:31:58 GMT 2025","","products.spec.js","",""
"","6560","Перейти на детальную страницу товара в категории ""hot item""","webkit","Thu Apr 03 06:33:46 GMT 2025","passed","Thu Apr 03 06:33:53 GMT 2025","","products.spec.js","",""
"","7498","Проверить отображение истории заказов","chromium","Thu Apr 03 06:30:00 GMT 2025","passed","Thu Apr 03 06:30:08 GMT 2025","","account.spec.js","",""
"","7920","Проверить отображение истории заказов","firefox","Thu Apr 03 06:31:31 GMT 2025","passed","Thu Apr 03 06:31:39 GMT 2025","","account.spec.js","",""
"","2381","Изменить количество отображаемых товаров на странице","webkit","Thu Apr 03 06:33:36 GMT 2025","passed","Thu Apr 03 06:33:39 GMT 2025","","products.spec.js","",""
"","1325","Изменить количество отображаемых товаров на странице","chromium","Thu Apr 03 06:30:13 GMT 2025","passed","Thu Apr 03 06:30:14 GMT 2025","","products.spec.js","",""
"","9798","Изменить отображение цены товара в евро","chromium","Wed Mar 26 05:48:17 GMT 2025","passed","Wed Mar 26 05:48:27 GMT 2025","","products.spec.js","",""
"","4716","Проверить вывод платежной информации","chromium","Thu Apr 03 06:29:37 GMT 2025","passed","Thu Apr 03 06:29:42 GMT 2025","","account.spec.js","",""
"","10791","Проверить отображение истории заказов","webkit","Thu Apr 03 06:33:20 GMT 2025","passed","Thu Apr 03 06:33:30 GMT 2025","","account.spec.js","",""
"","7895","Отфильтровать товары по ценовому диапазону","webkit","Thu Apr 03 06:33:53 GMT 2025","passed","Thu Apr 03 06:34:01 GMT 2025","","products.spec.js","",""
"","1901","Изменить количество отображаемых товаров на странице","firefox","Thu Apr 03 06:31:44 GMT 2025","passed","Thu Apr 03 06:31:46 GMT 2025","","products.spec.js","",""
"","7176","Обновить платежную информацию","chromium","Thu Apr 03 06:29:49 GMT 2025","passed","Thu Apr 03 06:29:56 GMT 2025","","account.spec.js","",""
"","8670","Увеличить количество товара в корзине больше чем на 1 еденицу","firefox","Thu Apr 03 06:32:11 GMT 2025","passed","Thu Apr 03 06:32:20 GMT 2025","","products.spec.js","",""
"","2952","Отправить комментарий к товару только с обязательными полями","firefox","Thu Apr 03 06:31:46 GMT 2025","passed","Thu Apr 03 06:31:49 GMT 2025","","products.spec.js","",""
"","2218","Отправить комментарий к товару только с обязательными полями","chromium","Thu Apr 03 06:30:14 GMT 2025","passed","Thu Apr 03 06:30:16 GMT 2025","","products.spec.js","",""
"","7378","Перейти на страницу производителя товара","webkit","Thu Apr 03 06:34:01 GMT 2025","passed","Thu Apr 03 06:34:08 GMT 2025","","products.spec.js","",""
"","18519","Восстановить пароль c email зарегистрированного пользователя","chromium","Thu Apr 03 06:29:17 GMT 2025","passed","Thu Apr 03 06:29:35 GMT 2025","","account.spec.js","",""
"","4750","Перейти на страницу производителя товара","chromium","Thu Apr 03 06:30:30 GMT 2025","passed","Thu Apr 03 06:30:34 GMT 2025","","products.spec.js","",""
"","4565","Перейти на детальную страницу товара в категории ""hot item""","chromium","Thu Apr 03 06:30:18 GMT 2025","passed","Thu Apr 03 06:30:23 GMT 2025","","products.spec.js","",""
"","7858","Отфильтровать товары по ценовому диапазону","firefox","Thu Apr 03 06:31:58 GMT 2025","passed","Thu Apr 03 06:32:05 GMT 2025","","products.spec.js","",""
"","11040","Отображение итоговой цены заказа","webkit","Thu Apr 03 06:34:18 GMT 2025","passed","Thu Apr 03 06:34:29 GMT 2025","","products.spec.js","",""
"","7552","Отображение итоговой цены заказа","firefox","Thu Apr 03 06:32:20 GMT 2025","passed","Thu Apr 03 06:32:27 GMT 2025","","products.spec.js","",""
"","7664","Обновить платежную информацию","firefox","Thu Apr 03 06:31:18 GMT 2025","passed","Thu Apr 03 06:31:26 GMT 2025","","account.spec.js","",""
